,Efficiency_Score (theta),lambda_BD20 algae,lambda_BD20 Camelina,lambda_BD20 canola,lambda_BD20 corn,lambda_BD20 Jatropha,lambda_BD20 palm,lambda_BD20 tallow,lambda_BD20 soy,lambda_E10 corn A,lambda_E10 corn B,lambda_E10 corn C,lambda_E10 corn D,lambda_E10 corn E,lambda_E10 corn stover,lambda_E10 corn stover*G,lambda_E10 corn/stover A,lambda_E10 corn/stover B,lambda_E10 forage sorghum,lambda_E10 forest residue,lambda_E10 forest residue*G,lambda_E10 grain sorghum,lambda_E10 Miscanthus,lambda_E10 Miscanthus*G,lambda_E10 MSW,lambda_E10 poplar,lambda_E10 poplar*G,lambda_E10 sugarcane,lambda_E10 sweet sorghum A,lambda_E10 sweet sorghum B,lambda_E10 switchgrass,lambda_E10 switchgrass*G,lambda_E10 willow,lambda_E10 willow*G,lambda_E85 corn A,lambda_E85 corn B,lambda_E85 corn C,lambda_E85 corn D,lambda_E85 corn E,lambda_E85 corn stover,lambda_E85 corn stover*G,lambda_E85 corn/stover A,lambda_E85 corn/stover B,lambda_E85 forage sorghum,lambda_E85 forest residue,lambda_E85 forest residue*G,lambda_E85 grain sorghum,lambda_E85 Miscanthus,lambda_E85 Miscanthus*G,lambda_E85 MSW,lambda_E85 poplar,lambda_E85 poplar*G,lambda_E85 sugarcane,lambda_E85 sweet sorghum A,lambda_E85 sweet sorghum B,lambda_E85 switchgrass,lambda_E85 switchgrass*G,lambda_E85 willow,lambda_E85 willow*G,lambda_RDI algae,lambda_RDI Camelina,lambda_RDI canola,lambda_RDI corn,lambda_RDI Jatropha,lambda_RDI palm,lambda_RDI soy,lambda_RDII algae,lambda_RDII Camelina,lambda_RDII canola,lambda_RDII corn,lambda_RDII Jatropha,lambda_RDII palm,lambda_RDII soy,s_minus_Cost,s_minus_LO,s_minus_Water,s_minus_GWP,s_minus_FWET,s_minus_FWEU,s_minus_HT,s_minus_PMPF,s_minus_POFP,s_minus_TA,s_minus_TE,s_plus_Output,Is_Efficient
BD20 algae,0.54817847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14734301,0.0,0.0,0.0,0.32201843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004804559,0.0,0.0,0.0,0.0,0.52805194,0.0,0.0021061749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0557035945033898,-9.168808941251161e-12,-5.023281617055897e-11,-5.165587180222531e-09,-1.2900900625556488e-09,0.07772880239262292,0.12307063372658224,0.0913235587682927,0.20888234243878784,-3.317043806294606e-09,0.07301266309035082,1.0800000005417587e-08,False
BD20 Camelina,0.77505589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78794396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057418573,0.0,0.0,0.0,0.0,0.17971606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022148251,0.0,0.0,0.0,0.0,0.0,0.0044498709,0.0,0.017996119459322113,-2.8789203243562156e-09,0.04615542963636364,2.0340079620595475e-09,-2.1843843955871023e-09,7.997658091341009e-11,-9.721518867689127e-10,0.014288752932195142,0.047435065504545515,0.008002305922926,0.0074668309192982285,-8.000000661922968e-10,False
BD20 canola,0.75040615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75571087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10274334,0.0,0.0,0.0,0.0,0.015228614,0.0,0.0,0.0,0.069487559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056829614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030184057949152632,1.137960586872211e-09,4.046563223392141e-10,4.825911004147088e-09,1.951951905665439e-09,2.1194379237754468e-10,0.02406027473417723,0.0363441328560976,0.09284909860909094,0.028357664235294067,0.007888648350877103,-3.000000026176508e-09,False
BD20 corn,0.69121749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6697915,0.0,0.0,0.0,0.0,0.010300563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16004171,0.0,0.0,0.0,0.0077341877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15213204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.169490722271689e-10,0.07725720646101114,0.03352303851807096,0.015032193622672052,-3.30270269466304e-09,5.749413445332863e-11,-1.3721519059872733e-09,0.03948495516609757,0.09897645549545458,0.008489645732729978,-1.4245614687879993e-09,7.000000579182597e-10,False
BD20 Jatropha,0.74714381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69906604,0.0,0.0,0.0,0.0,0.047351131,0.0,0.0,0.0,0.0,0.0,0.0,0.076184099,0.0,0.0,0.0,0.0,0.076006642,0.0,0.0,0.0,0.10139209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9491525060644221e-10,8.568980247591895e-11,0.009426688542128601,0.005743186914979659,-5.885885945300373e-10,-1.721311496116762e-10,0.020837908607594935,0.04019969653414632,0.11543114132272722,0.019292162371040644,-1.7543855257429186e-11,2.000000165480742e-09,False
BD20 palm,0.80571575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78807052,0.0,0.0,0.0,0.0,0.035352797,0.0,0.0,0.0,0.0,0.0,0.0,0.14151472,0.0,0.0,0.0,0.0,0.0081767622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026885208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019672157838983073,-7.396743773036007e-10,0.10797072781308203,-7.38704475367058e-09,-3.3867867954562314e-09,-2.4519906244302447e-10,0.024746042769620263,0.043262087907804905,0.1009051362790909,0.03997753884102556,-4.942105336080971e-09,7.1999999295968564e-09,False
BD20 tallow,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
BD20 soy,0.97135494,0.0,0.0,0.0,0.0,0.0,0.0,0.28462294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29998123,0.0,0.0,0.0,0.30407694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11131888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03361328415254228,0.15736362352185093,2.2172949240562012e-10,0.06864343149797558,3.48348350165395e-09,3.161592584954853e-10,0.021348523164556973,0.015009338731707345,0.06411951340909094,5.384615420211958e-09,0.0025974193859649164,-9.99999993922529e-09,False
E10 corn A,0.9397803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56372081,0.0,0.0,0.0,0.23593363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20034556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03452410313559323,0.008371815141388175,9.977827071516732e-11,0.12964585101214587,-3.303303325319362e-10,0.011728772447306794,0.03537606670886076,0.022808809951219533,0.06275626815151522,4.5248915725437655e-11,0.037848447105263194,0.0,False
E10 corn B,0.94848838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56981406,0.0,0.0,0.0,0.23841793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19176801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03568705322033899,0.008447621919451585,-1.552106429492106e-10,0.1283139834008099,4.504504547142574e-10,0.011258359309133485,0.023950823544303786,0.019390679048780474,0.060207580409090855,-2.1116139392596267e-09,0.03874665578947367,0.0,False
E10 corn C,0.96181776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58668286,0.0,0.0,0.0,0.24244243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17087471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04291496525423727,0.008556435766923734,8.869179522752457e-11,0.13060129700404866,-9.309309573213298e-10,0.01235183610070257,0.02477241772151897,0.015880675292682916,0.050049291136363694,1.5082957105505557e-10,0.04576048122807014,0.0,False
E10 corn D,0.73771815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54477275,0.0,0.0,0.0,0.12735939,0.0,0.0,0.0,0.0,0.0063007212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27080921,0.0,0.050757932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0338982447954947e-09,4.798629028857082e-11,1.0909090818189693e-10,0.048049508406477814,-1.5567567235308388e-09,0.0006595930238875933,0.0319175961620253,0.025485900687804847,0.08386464326484844,0.0023685170521869914,-8.070175638863475e-10,3.2000000427245823e-09,False
E10 corn E,0.88819304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55527762,0.0,0.0,0.0,0.24815318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19656921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01550910016949153,0.007045615338474721,-1.2195121995572933e-10,0.08570970137651812,-1.4414414245544904e-09,0.011131805562060886,0.03296653316455696,0.02471446987804879,0.06627214060606051,-3.95173449518893e-09,0.019976330701754308,9.99999993922529e-09,False
E10 corn stover,0.99062452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33182989,0.0,0.0,0.0,0.13932408,0.0,0.0,0.0,0.49156169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015444044,0.0,0.0,0.0,0.0,0.021840291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.135593173997364e-09,-1.0111396789302951e-10,6.363636353978741e-11,0.01853421198380567,6.006006247893936e-10,0.0005183011908665089,7.594936832222565e-11,0.0004448035292682895,0.021853325409090962,0.007228754313725438,0.0003289672807018085,-4.999999969612645e-09,False
E10 corn stover*G,0.85802498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17694109,0.0,0.0,0.0,0.29830512,0.0,0.0,0.0,0.27845891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020437033,0.0,0.0,0.0,0.22585784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4406780213249704e-09,7.02656439977023e-11,-5.986695861270874e-11,0.05984336725101225,1.6606606922930922e-09,3.5597190473080076e-10,0.004807045405063291,0.0161548805682927,0.057484706269696983,0.03298977803016595,0.04816879595614032,-7.000000024071085e-09,False
